      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     216       4       8    1990       25.0000000     1193.2954630     1130.0000000     1179.4199255
     217       5       8    1990       19.0000000     1151.8399313     1090.0000000     1139.0034687
     218       6       8    1990       22.0000000     1111.3386146     1050.0000000     1098.5857559
     219       7       8    1990       19.0000000     1107.0150986     1050.0000000     1098.0390544
     220       8       8    1990       22.0000000     1106.3854273     1050.0000000     1097.5036186
     221       9       8    1990       19.0000000     1096.6961372     1040.0000000     1086.9847183
     222      10       8    1990       20.0000000     1095.1788209     1040.0000000     1086.4799932
     223      11       8    1990       19.0000000     1058.2850488     1000.0000000     1045.9875392
     224      12       8    1990       19.0000000     1047.6731807      993.0000000     1038.5058181
     225      13       8    1990       22.0000000     1025.8024760      963.0000000     1014.0494507
     226      14       8    1990       36.0000000     1040.1399111      956.0000000     1024.7552973
     227      15       8    1990       31.0000000     1051.1466022      988.0000000     1037.1921920
     228      16       8    1990       30.0000000     1102.4070044     1040.0000000     1094.1471178
     229      17       8    1990       28.0000000     1125.6657474     1070.0000000     1117.9910212
     230      18       8    1990       34.0000000     1123.9556364     1070.0000000     1115.6683697
     231      19       8    1990       21.0000000     1086.5958949     1030.0000000     1074.7349496
     232      20       8    1990       30.0000000     1072.8938737     1020.0000000     1063.9055863
     233      21       8    1990       22.0000000     1062.0478404     1010.0000000     1053.1603441
     234      22       8    1990       21.0000000     1069.4310897     1020.0000000     1062.4832909
     235      23       8    1990       23.0000000     1023.3417320      969.0000000     1010.8616839
     236      24       8    1990       20.0000000      987.1099214      935.0000000      976.2853234
     237      25       8    1990       29.0000000      973.3669759      924.0000000      964.7471254
     238      26       8    1990       20.0000000      978.0701305      930.0000000      971.2393192
     239      27       8    1990       22.0000000      974.3559099      924.0000000      966.3706944
     240      28       8    1990       23.0000000      996.3643179      951.0000000      991.4081339
     241      29       8    1990       35.0000000     1000.5562590      954.0000000      993.5320904
     242      30       8    1990       51.0000000     1103.0314012      947.0000000     1058.8463137
     243      31       8    1990       80.0000000     1066.8290955      958.0000000     1020.4251632
     244       1       9    1990       56.0000000     1051.5320258      995.0000000     1042.0018960
     245       2       9    1990       33.0000000     1089.8595759     1040.0000000     1084.3693347
     246       3       9    1990       27.0000000     1119.5323469     1070.0000000     1113.2518747
