      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     193      12       7    1990       88.0000000     2304.7183037     2290.0000000     2290.0000000
     194      13       7    1990       84.0000000     2238.6923420     2200.0000000     2200.0000000
     195      14       7    1990       72.0000000     2147.6558973     2110.0000000     2110.0000000
     196      15       7    1990       55.0000000     2049.0160592     2010.0000000     2010.0000000
     197      16       7    1990       65.0000000     1948.1877950     1910.0000000     1910.0000000
     198      17       7    1990       50.0000000     1855.1588164     1820.0000000     1820.0000000
     199      18       7    1990       50.0000000     1772.2039139     1740.0000000     1740.0000000
     200      19       7    1990       46.0000000     1714.7433600     1690.0000000     1690.0000000
     201      20       7    1990       44.0000000     1656.4813126     1630.0000000     1630.0000000
     202      21       7    1990       42.0000000     1603.6990225     1580.0000000     1580.0000000
     203      22       7    1990       37.0000000     1522.3879300     1490.0000000     1490.0000000
     204      23       7    1990       38.0000000     1462.8336378     1440.0000000     1440.0000000
     205      24       7    1990       44.0000000     1427.8849973     1410.0000000     1410.0000000
     206      25       7    1990       30.0000000     1389.8234531     1370.0000000     1370.0000000
     207      26       7    1990       26.0000000     1341.7896118     1320.0000000     1320.0000000
     208      27       7    1990       31.0000000     1291.4951583     1270.0000000     1270.0000000
     209      28       7    1990       33.0000000     1260.7289195     1240.0000000     1240.0000000
     210      29       7    1990       42.0000000     1220.5796797     1200.0000000     1200.0000000
     211      30       7    1990       36.0000000     1179.0189881     1160.0000000     1160.0000000
     212      31       7    1990       34.0000000     1169.6106957     1160.0000000     1160.0000000
     213       1       8    1990       25.0000000     1246.5097665     1260.0000000     1260.0000000
     214       2       8    1990       22.0000000     1261.4181293     1250.0000000     1250.0000000
     215       3       8    1990       28.0000000     1204.9154446     1180.0000000     1180.0000000
     216       4       8    1990       25.0000000     1150.1441637     1130.0000000     1130.0000000
     217       5       8    1990       19.0000000     1107.6708786     1090.0000000     1090.0000000
     218       6       8    1990       22.0000000     1067.4943643     1050.0000000     1050.0000000
     219       7       8    1990       19.0000000     1058.1868796     1050.0000000     1050.0000000
     220       8       8    1990       22.0000000     1058.0300940     1050.0000000     1050.0000000
     221       9       8    1990       19.0000000     1050.1671512     1040.0000000     1040.0000000
     222      10       8    1990       20.0000000     1047.7412857     1040.0000000     1040.0000000
     223      11       8    1990       19.0000000     1016.7491162     1000.0000000     1000.0000000
     224      12       8    1990       19.0000000     1002.0804612      993.0000000      993.0000000
     225      13       8    1990       22.0000000      979.8152162      963.0000000      963.0000000
     226      14       8    1990       36.0000000      973.0831566      956.0000000      956.0000000
     227      15       8    1990       31.0000000      995.1087696      988.0000000      988.0000000
     228      16       8    1990       30.0000000     1042.8607814     1040.0000000     1040.0000000
     229      17       8    1990       28.0000000     1072.8210494     1070.0000000     1070.0000000
     230      18       8    1990       34.0000000     1078.2889214     1070.0000000     1070.0000000
     231      19       8    1990       21.0000000     1047.2218769     1030.0000000     1030.0000000
     232      20       8    1990       30.0000000     1030.1716543     1020.0000000     1020.0000000
     233      21       8    1990       22.0000000     1019.9904164     1010.0000000     1010.0000000
     234      22       8    1990       21.0000000     1025.2502152     1020.0000000     1020.0000000
     235      23       8    1990       23.0000000      988.0317355      969.0000000      969.0000000
     236      24       8    1990       20.0000000      949.9972069      935.0000000      935.0000000
     237      25       8    1990       29.0000000      933.6092833      924.0000000      924.0000000
     238      26       8    1990       20.0000000      935.5994511      930.0000000      930.0000000
     239      27       8    1990       22.0000000      932.2151252      924.0000000      924.0000000
     240      28       8    1990       23.0000000      951.5527624      951.0000000      951.0000000
     241      29       8    1990       35.0000000      959.9229304      954.0000000      954.0000000
     242      30       8    1990       51.0000000      998.3031879      947.0000000      947.0000000
     243      31       8    1990       80.0000000     1002.8506704      958.0000000      958.0000000
     244       1       9    1990       56.0000000     1006.6209887      995.0000000      995.0000000
     245       2       9    1990       33.0000000     1045.3150246     1040.0000000     1040.0000000
     246       3       9    1990       27.0000000     1077.7640265     1070.0000000     1070.0000000
     247       4       9    1990       27.0000000     1068.3496005     1050.0000000     1050.0000000
     248       5       9    1990       28.0000000     1055.3119559     1040.0000000     1040.0000000
     249       6       9    1990       26.0000000     1029.1796334     1010.0000000     1010.0000000
     250       7       9    1990       24.0000000     1011.7346891      991.0000000      991.0000000
     251       8       9    1990       33.0000000     1019.1469101     1010.0000000     1010.0000000
     252       9       9    1990       26.0000000     1021.5805897     1010.0000000     1010.0000000
     253      10       9    1990       27.0000000     1028.7344065     1020.0000000     1020.0000000
     254      11       9    1990       22.0000000     1045.9426321     1040.0000000     1040.0000000
     255      12       9    1990       22.0000000     1017.6532007      998.0000000      998.0000000
     256      13       9    1990       21.0000000      970.6082951      950.0000000      950.0000000
     257      14       9    1990       22.0000000      928.4014379      910.0000000      910.0000000
     258      15       9    1990       22.0000000      882.6558468      863.0000000      863.0000000
     259      16       9    1990       22.0000000      859.2555669      847.0000000      847.0000000
     260      17       9    1990       20.0000000      842.1946650      830.0000000      830.0000000
     261      18       9    1990       22.0000000      856.5588515      854.0000000      854.0000000
     262      19       9    1990       16.0000000      844.0549159      831.0000000      831.0000000
     263      20       9    1990       22.0000000      813.8854948      799.0000000      799.0000000
     264      21       9    1990       19.0000000      804.5864479      790.0000000      790.0000000
     265      22       9    1990       32.0000000      841.0570490      805.0000000      805.0000000
     266      23       9    1990       27.0000000      907.3604863      913.0000000      913.0000000
     267      24       9    1990       45.0000000      998.4521348      998.0000000      998.0000000
     268      25       9    1990       42.0000000     1129.4795973     1150.0000000     1150.0000000
     269      26       9    1990       39.0000000     1347.4955576     1390.0000000     1390.0000000
     270      27       9    1990       30.0000000     1424.8137244     1420.0000000     1420.0000000
     271      28       9    1990       28.0000000     1330.7743193     1290.0000000     1290.0000000
     272      29       9    1990       30.0000000     1215.6697696     1180.0000000     1180.0000000
     273      30       9    1990       30.0000000     1151.5149102     1110.0000000     1110.0000000
     274       1      10    1990       56.0000000     1154.8004635     1130.0000000     1130.0000000
     275       2      10    1990       72.0000000     1133.7856104     1110.0000000     1110.0000000
     276       3      10    1990       73.0000000     1276.9780135     1290.0000000     1290.0000000
     277       4      10    1990       68.0000000     1427.1590599     1440.0000000     1440.0000000
